issue_type,difficulty,model,run_id,timestamp,detection_recall,detection_precision,detected_count,injected_count,detection_success,resolution_attempted,resolution_proposed,resolution_applied,resolution_success,resolution_correctness,resolution_errors,resolution_noop_reasons,repairs,overall_success
missing_object_type,easy,qwen2.5:7b,0,2026-09-16T08:30:37.598526,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'payment:629', 'original_value': 'payment', 'proposed_value': 'payment', 'noop_reason': None}]",True
missing_object_type,easy,qwen2.5:7b,1,2026-09-16T08:30:41.282672,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'payment:629', 'original_value': 'payment', 'proposed_value': 'payment', 'noop_reason': None}]",True
missing_object_type,easy,qwen2.5:7b,2,2026-09-16T08:30:44.496961,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'payment:629', 'original_value': 'payment', 'proposed_value': 'payment', 'noop_reason': None}]",True
missing_object_type,easy,qwen2.5:7b,3,2026-09-16T08:30:48.098295,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'payment:629', 'original_value': 'payment', 'proposed_value': 'payment', 'noop_reason': None}]",True
missing_object_type,easy,qwen2.5:7b,4,2026-09-16T08:30:52.208624,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'payment:629', 'original_value': 'payment', 'proposed_value': 'payment', 'noop_reason': None}]",True
missing_object_type,easy,qwen2.5:7b,5,2026-09-16T08:30:55.813765,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'payment:629', 'original_value': 'payment', 'proposed_value': 'payment', 'noop_reason': None}]",True
missing_object_type,easy,qwen2.5:7b,6,2026-09-16T08:30:59.388007,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'payment:629', 'original_value': 'payment', 'proposed_value': 'payment', 'noop_reason': None}]",True
missing_object_type,easy,qwen2.5:7b,7,2026-09-16T08:31:02.785019,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'payment:629', 'original_value': 'payment', 'proposed_value': 'payment', 'noop_reason': None}]",True
missing_object_type,easy,qwen2.5:7b,8,2026-09-16T08:31:06.749473,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'payment:629', 'original_value': 'payment', 'proposed_value': 'payment', 'noop_reason': None}]",True
missing_object_type,easy,qwen2.5:7b,9,2026-09-16T08:31:10.955496,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'payment:629', 'original_value': 'payment', 'proposed_value': 'payment', 'noop_reason': None}]",True
missing_object_type,hard,qwen2.5:7b,0,2026-09-16T08:31:15.183518,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'material:1434', 'original_value': 'material', 'proposed_value': 'material', 'noop_reason': None}]",True
missing_object_type,hard,qwen2.5:7b,1,2026-09-16T08:31:18.655176,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'material:1434', 'original_value': 'material', 'proposed_value': 'material', 'noop_reason': None}]",True
missing_object_type,hard,qwen2.5:7b,2,2026-09-16T08:31:21.902748,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'material:1434', 'original_value': 'material', 'proposed_value': 'material', 'noop_reason': None}]",True
missing_object_type,hard,qwen2.5:7b,3,2026-09-16T08:31:25.191629,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'material:1434', 'original_value': 'material', 'proposed_value': 'material', 'noop_reason': None}]",True
missing_object_type,hard,qwen2.5:7b,4,2026-09-16T08:31:28.803171,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'material:1434', 'original_value': 'material', 'proposed_value': 'material', 'noop_reason': None}]",True
missing_object_type,hard,qwen2.5:7b,5,2026-09-16T08:31:32.006354,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'material:1434', 'original_value': 'material', 'proposed_value': 'material', 'noop_reason': None}]",True
missing_object_type,hard,qwen2.5:7b,6,2026-09-16T08:31:35.462851,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'material:1434', 'original_value': 'material', 'proposed_value': 'material', 'noop_reason': None}]",True
missing_object_type,hard,qwen2.5:7b,7,2026-09-16T08:31:39.266230,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'material:1434', 'original_value': 'material', 'proposed_value': 'material', 'noop_reason': None}]",True
missing_object_type,hard,qwen2.5:7b,8,2026-09-16T08:31:42.706317,1.0,1.0,1,1,True,1,1,1,True,1.0,,,"[{'ocel_id': 'material:1434', 'original_value': 'material', 'proposed_value': 'material', 'noop_reason': None}]",True
